"id","year","n_items","num_parts","set_num","name","set_img_url","first_theme_id","second_theme_id","third_theme_id","first_theme_name","second_theme_name","third_theme_name","agg_type","color_id","color_name","color_rgb","n_color_parts"
99244,2021,1259,11695,"31203-1",World Map,https://cdn.rebrickable.com/media/sets/31203-1.jpg,709,,,LEGO Art,,,color_group,3,White,FFFFFF,3344
205118,1966,204,817,"004-1",Master Builder Set,https://cdn.rebrickable.com/media/sets/004-1.jpg,365,756,,System,Samsonite,,color_group,4,Red,C91A09,365
2796,2013,785,2989,"10234-1",Sydney Opera House,https://cdn.rebrickable.com/media/sets/10234-1.jpg,22,673,,Creator,Creator Expert,,color_group,8,Tan,E4CD9E,1080
3082,1982,91,744,"599-1",Super Basic Set,https://cdn.rebrickable.com/media/sets/599-1.jpg,465,,,Universal Building Set,,,color_group,4,Red,C91A09,213
4822,1990,126,1064,"5590-1",Whirl and Wheel Super Truck,https://cdn.rebrickable.com/media/sets/5590-1.jpg,278,,,Model Team,,,color_group,2,Black,"05131D",522
14469,2003,544,2847,k34432-1,Lego Mosaic Dino,https://cdn.rebrickable.com/media/sets/k34432-1.jpg,276,277,,Sculptures,Mosaic,,color_group,3,White,FFFFFF,1440
14521,2001,476,1868,"10018-1",Darth Maul,https://cdn.rebrickable.com/media/sets/10018-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,2,Black,"05131D",1236
164965,2023,1039,6181,"10316-1",Lord of the Rings: Rivendell,https://cdn.rebrickable.com/media/sets/10316-1.jpg,721,,,Icons,,,color_group,1,Gray,"6C6E68",1970
4334,1992,149,954,"8868-1",Airtech Claw Rig,https://cdn.rebrickable.com/media/sets/8868-1.jpg,1,,,Technic,,,color_group,2,Black,"05131D",417
37201,1978,81,982,"398-1",U.S.S. Constellation,https://cdn.rebrickable.com/media/sets/398-1.jpg,404,,,Hobby Sets,,,color_group,2,Black,"05131D",586
44145,2002,593,3116,"10030-1",Imperial Star Destroyer,https://cdn.rebrickable.com/media/sets/10030-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,1,Gray,"6C6E68",2262
124812,1965,51,304,"610-3",Super Wheel Toy Set,https://cdn.rebrickable.com/media/sets/610-3.jpg,365,756,,System,Samsonite,,color_group,5,Blue,"0055BF",119
1489,2000,416,2882,"3450-1",Statue of Liberty,https://cdn.rebrickable.com/media/sets/3450-1.jpg,276,,,Sculptures,,,color_group,9,Green,"237841",2867
4203,1979,104,512,"955-1",Mobile Crane,https://cdn.rebrickable.com/media/sets/955-1.jpg,1,4,,Technic,Expert Builder,,color_group,6,Yellow,F2CD37,205
9506,1962,65,755,"810-4","Town Plan - UK, Cardboard box",https://cdn.rebrickable.com/media/sets/810-4.jpg,365,372,,System,Town Plan,,color_group,3,White,FFFFFF,441
24245,1950,22,1,"700.B.4-1",Single 1 x 2 x 4 Door without Glass (ABB),https://cdn.rebrickable.com/media/sets/700.b.4-1.jpg,365,371,,System,Supplemental,,color_group,9,Green,"237841",1
119,1964,113,253,"323-1",Train,https://cdn.rebrickable.com/media/sets/323-1.jpg,365,,,System,,,color_group,4,Red,C91A09,89
6409,2007,506,5198,"10179-1",Millennium Falcon,https://cdn.rebrickable.com/media/sets/10179-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,1,Gray,"6C6E68",4273
196860,1985,190,737,"7745-1",High-Speed City Express Passenger Train,https://cdn.rebrickable.com/media/sets/7745-1.jpg,233,234,,Train,"12V",,color_group,2,Black,"05131D",329
212697,1980,126,787,"7740-1",Inter-City Passenger Train,https://cdn.rebrickable.com/media/sets/7740-1.jpg,233,234,,Train,"12V",,color_group,1,Gray,"6C6E68",247
4131,2009,575,3261,"10196-1",Grand Carousel,https://cdn.rebrickable.com/media/sets/10196-1.jpg,22,673,,Creator,Creator Expert,,color_group,3,White,FFFFFF,1068
5069,2006,461,2000,"5491-1",XXL 2000,https://cdn.rebrickable.com/media/sets/5491-1.jpg,34,,,Make & Create,,,color_group,6,Yellow,F2CD37,401
5760,1975,42,596,"365-1",Wild West Scene,https://cdn.rebrickable.com/media/sets/365-1.jpg,411,424,,Legoland,Western,,color_group,4,Red,C91A09,162
8504,1995,201,1067,"8485-1",Control Centre / Control II,https://cdn.rebrickable.com/media/sets/8485-1.jpg,1,21,,Technic,Universal Building Set,,color_group,2,Black,"05131D",549
12824,1974,40,412,"145-1",Building Set,https://cdn.rebrickable.com/media/sets/145-1.jpg,465,,,Universal Building Set,,,color_group,4,Red,C91A09,155
15467,1993,146,924,"6286-1",Skull's Eye Schooner,https://cdn.rebrickable.com/media/sets/6286-1.jpg,147,148,,Pirates,Pirates I,,color_group,2,Black,"05131D",451
126067,1953,13,48,"700.F-1",Automatic Binding Bricks - Small Brick Set (Lego Mursten),https://cdn.rebrickable.com/media/sets/700.f-1.jpg,365,371,,System,Supplemental,,color_group,3,White,FFFFFF,12
167285,1991,175,1078,"6542-1",Launch & Load Seaport,https://cdn.rebrickable.com/media/sets/6542-1.jpg,50,67,,Town,Classic Town,,color_group,3,White,FFFFFF,225
174735,1956,22,96,"1310-1",ESSO Filling Station,https://cdn.rebrickable.com/media/sets/1310-1.jpg,365,372,,System,Town Plan,,color_group,3,White,FFFFFF,67
1721,1954,60,54,"700GP5-1",Gift Package (Lego Mursten),https://cdn.rebrickable.com/media/sets/700gp5-1.jpg,365,372,,System,Town Plan,,color_group,4,Red,C91A09,27
5291,1988,87,898,"8865-1",Test Car,https://cdn.rebrickable.com/media/sets/8865-1.jpg,1,,,Technic,,,color_group,1,Gray,"6C6E68",337
7557,1977,118,608,"853-1",Auto Chassis,https://cdn.rebrickable.com/media/sets/853-1.jpg,1,4,,Technic,Expert Builder,,color_group,4,Red,C91A09,206
10283,1998,422,1201,"3026-1","25th Anniversary Silver Tub",https://cdn.rebrickable.com/media/sets/3026-1.jpg,465,467,,Universal Building Set,Basic,,color_group,3,White,FFFFFF,244
15957,1986,174,668,"5580-1",Highway Rig,https://cdn.rebrickable.com/media/sets/5580-1.jpg,278,,,Model Team,,,color_group,1,Gray,"6C6E68",275
24756,1967,35,712,"080-2",Ambassador Set,https://cdn.rebrickable.com/media/sets/080-2.jpg,365,756,,System,Samsonite,,color_group,4,Red,C91A09,198
137079,1972,43,332,"355-1",Town Center Set with Roadways,https://cdn.rebrickable.com/media/sets/355-1.jpg,411,413,,Legoland,Building,,color_group,4,Red,C91A09,145
208272,1963,237,468,"450-2",Deluxe Building Set,https://cdn.rebrickable.com/media/sets/450-2.jpg,365,756,,System,Samsonite,,color_group,4,Red,C91A09,183
3484,1987,240,721,"557-1",Basic Building Set,https://cdn.rebrickable.com/media/sets/557-1.jpg,465,467,,Universal Building Set,Basic,,color_group,4,Red,C91A09,207
12161,2005,448,5462,SWMP-1,Star Wars / M&M Mosaic - Promo Set,https://cdn.rebrickable.com/media/sets/swmp-1.jpg,158,,,Star Wars,,,color_group,2,Black,"05131D",1380
14878,1996,208,1746,"5571-1",Giant Truck,https://cdn.rebrickable.com/media/sets/5571-1.jpg,278,,,Model Team,,,color_group,1,Gray,"6C6E68",694
15807,1984,100,679,"6080-1",King's Castle,https://cdn.rebrickable.com/media/sets/6080-1.jpg,186,199,,Castle,Lion Knights,,color_group,1,Gray,"6C6E68",475
76,2008,495,5922,"10189-1",Taj Mahal,https://cdn.rebrickable.com/media/sets/10189-1.jpg,22,673,,Creator,Creator Expert,,color_group,3,White,FFFFFF,3548
5261,1983,79,570,"7727-1",Freight Steam Train,https://cdn.rebrickable.com/media/sets/7727-1.jpg,233,234,,Train,"12V",,color_group,2,Black,"05131D",257
19670,2017,1019,7541,"75192-1",Millennium Falcon,https://cdn.rebrickable.com/media/sets/75192-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,1,Gray,"6C6E68",5030
50677,1997,288,1274,"8479-1",Barcode Multi-Set,https://cdn.rebrickable.com/media/sets/8479-1.jpg,1,,,Technic,,,color_group,2,Black,"05131D",646
80641,2011,668,3152,"10221-1",Super Star Destroyer,https://cdn.rebrickable.com/media/sets/10221-1.jpg,158,171,,Star Wars,Ultimate Collector Series,,color_group,1,Gray,"6C6E68",2192
7124,1976,80,473,"258-1",Zoo with Baseboard,https://cdn.rebrickable.com/media/sets/258-1.jpg,364,,,Building Set with People,,,color_group,4,Red,C91A09,125
35420,2010,572,4295,"10214-1",Tower Bridge,https://cdn.rebrickable.com/media/sets/10214-1.jpg,22,673,,Creator,Creator Expert,,color_group,8,Tan,E4CD9E,1941
150356,2022,1048,10001,"10307-1",Eiffel Tower,https://cdn.rebrickable.com/media/sets/10307-1.jpg,721,,,Icons,,,color_group,1,Gray,"6C6E68",7731
187481,2018,980,6020,"71043-1",Hogwarts Castle,https://cdn.rebrickable.com/media/sets/71043-1.jpg,246,,,Harry Potter,,,color_group,8,Tan,E4CD9E,2580
