"n_items","source_name","target_name"
23,"535-Collectible Minifigures","618-The LEGO Ninjago Movie"
22,"52-City","59-Harbor"
18,"408-LEGO Brand Store","619-Cities of Wonders"
4,"504-Duplo","651-Pirates"
22,"50-Town","106-City Center"
18,"504-Duplo","631-Thomas & Friends"
8,"696-Super Heroes Marvel","705-Iron Man"
6,"504-Duplo","659-Dolls"
16,"504-Duplo","661-Little Robots"
10,"504-Duplo","665-Western"
105,"126-Space","130-Classic Space"
12,"535-Collectible Minifigures","546-Team GB"
92,"233-Train","235-4.5V"
8,"186-Castle","189-Classic Castle"
19,"535-Collectible Minifigures","611-Series 17 Minifigures"
21,"535-Collectible Minifigures","677-Disney Series 2"
28,"52-City","744-Stuntz"
20,"535-Collectible Minifigures","681-Series 19 Minifigures"
9,"126-Space","131-Exploriens"
9,"186-Castle","201-Royal Knights"
1,"411-Legoland","414-Castle"
19,"324-Bionicle","341-Playsets"
33,"507-Educational and Dacta","509-SPIKE"
7,"504-Duplo","662-Princess Castle"
18,"458-Sports","461-Hockey"
19,"535-Collectible Minifigures","547-Series 11 Minifigures"
13,"504-Duplo","664-Toolo"
21,"535-Collectible Minifigures","545-Series 10 Minifigures"
10,"529-Technic","530-Control Lab"
7,"697-Batman","698-UCS"
10,"706-Spider-Man","755-Spidey and His Amazing Friends"
1,"207-Advent","212-Classic Basic"
6,"207-Advent","710-Harry Potter"
19,"535-Collectible Minifigures","538-Series 3 Minifigures"
11,"1-Technic","18-Star Wars"
28,"296-Adventurers","300-Orient Expedition"
17,"186-Castle","195-Fright Knights"
25,"411-Legoland","413-Building"
27,"186-Castle","199-Lion Knights"
19,"535-Collectible Minifigures","541-Series 6 Minifigures"
19,"535-Collectible Minifigures","553-The Simpsons Series 2"
42,"411-Legoland","416-Construction"
50,"206-Seasonal","229-Easter"
11,"126-Space","133-Ice Planet 2002"
14,"186-Castle","190-Dragon Knights"
20,"535-Collectible Minifigures","622-Series 18 Minifigures"
370,"497-Books","761-Activity Books with LEGO Parts"
47,"50-Town","105-World City"
531,"365-System","371-Supplemental"
57,"365-System","372-Town Plan"
37,"22-Creator","674-Early Creator"
12,"126-Space","142-Spyrius"
24,"52-City","60-Hospital"
16,"535-Collectible Minifigures","725-Series 23 Minifigures"
6,"50-Town","88-Launch Command"
2,"273-Studios","274-Jurassic Park III"
17,"535-Collectible Minifigures","750-Marvel Series 2"
1,"233-Train","241-Supplemental"
5,"504-Duplo","628-Dora the Explorer"
1,"411-Legoland","415-Coast Guard"
11,"458-Sports","460-Gravity Games"
149,"365-System","756-Samsonite"
1,"50-Town","104-Town Plan"
36,"227-Christmas","228-Creator"
6,"754-Disney","633-Toy Story"
2,"207-Advent","213-Clikits"
120,"52-City","58-Fire"
200,"52-City","61-Police"
26,"22-Creator","478-X-Pod"
65,"233-Train","234-12V"
6,"126-Space","139-Space Police I"
204,"465-Universal Building Set","467-Basic"
166,"501-Gear","740-Storage"
40,"52-City","53-Airport"
53,"465-Universal Building Set","470-Classic Basic"
16,"186-Castle","188-Black Knights"
211,"497-Books","760-Activity Books"
19,"535-Collectible Minifigures","556-Series 16 Minifigures"
18,"1-Technic","3-Competition"
85,"501-Gear","736-Posters and Art Prints"
17,"1-Technic","19-Supplemental"
9,"507-Educational and Dacta","517-Learning"
19,"535-Collectible Minifigures","539-Series 4 Minifigures"
18,"147-Pirates","153-Pirates II"
5,"307-Aquazone","311-Aquasharks"
17,"304-Alpha Team","305-Mission Deep Sea"
10,"52-City","614-Jungle"
35,"435-Ninjago","616-The LEGO Ninjago Movie"
25,"52-City","65-Arctic"
42,"578-The LEGO Movie","670-The LEGO Movie II"
15,"438-Power Functions","655-Powered Up"
289,"501-Gear","742-Video Games and Accessories"
4,"126-Space","138-RoboForce"
19,"535-Collectible Minifigures","540-Series 5 Minifigures"
30,"507-Educational and Dacta","528-Supplemental"
16,"52-City","679-Mars Exploration"
19,"535-Collectible Minifigures","691-Harry Potter and Fantastic Beasts Series 2"
388,"504-Duplo","505-Basic Set"
29,"1-Technic","16-RoboRiders"
19,"535-Collectible Minifigures","551-Series 13 Minifigures"
16,"535-Collectible Minifigures","743-Series 24 Minifigures"
12,"126-Space","146-Galaxy Squad"
8,"696-Super Heroes Marvel","707-X-Men"
12,"50-Town","86-Divers"
5,"591-Juniors","592-DC Comics Super Heroes"
9,"504-Duplo","657-Action Wheelers"
3,"307-Aquazone","309-Aquaraiders I"
122,"301-Other","746-Database Sets"
3,"504-Duplo","639-Sofia the First"
4,"207-Advent","214-Creator"
4,"207-Advent","751-Marvel"
467,"504-Duplo","632-Town"
100,"504-Duplo","754-Disney"
19,"535-Collectible Minifigures","548-Series 12 Minifigures"
14,"695-Super Heroes DC","701-Superman"
31,"411-Legoland","423-Vehicle"
17,"1-Technic","20-Throwbot Slizer"
30,"126-Space","135-Life On Mars"
26,"296-Adventurers","297-Desert"
28,"52-City","55-Coast Guard"
3,"411-Legoland","419-Harbor"
45,"400-Hero Factory","401-Heroes"
23,"507-Educational and Dacta","510-Serious Play"
21,"561-The Hobbit and Lord of the Rings","566-The Lord of the Rings"
10,"296-Adventurers","299-Jungle"
36,"400-Hero Factory","403-Villains"
62,"52-City","63-Traffic"
11,"52-City","64-Off-Road"
357,"501-Gear","739-Stationery and Office Supplies"
8,"591-Juniors","615-Cars"
2,"246-Harry Potter","667-Fantastic Beasts"
99,"501-Gear","735-Plush Toys"
73,"504-Duplo","634-Trains"
17,"598-Promotional","471-Ferries"
37,"52-City","66-Trains"
19,"296-Adventurers","298-Dino Island"
4,"126-Space","145-Unitron"
65,"501-Gear","738-Seasonal"
19,"126-Space","134-Insectoids"
4,"411-Legoland","424-Western"
11,"50-Town","51-Arctic"
4,"591-Juniors","597-Ninjago"
7,"365-System","369-Jumbo Bricks"
122,"696-Super Heroes Marvel","702-Avengers"
16,"535-Collectible Minifigures","720-The Muppets"
215,"365-System","368-HO 1:87 Vehicles"
3,"279-4 Juniors","287-Spider-Man"
44,"258-Mindstorms","259-NXT"
4,"22-Creator","406-Inventor"
21,"754-Disney","506-Cars"
18,"754-Disney","635-Winnie the Pooh"
2,"207-Advent","211-Castle"
18,"754-Disney","641-Mickey & Friends"
