"id","color_name","rgb","color_group","group_rgb","is_trans"
182,Trans-Orange,F08F1C,Orange,FE8A18,true
183,Pearl White,F2F3F2,White,FFFFFF,false
191,Bright Light Orange,F8BB3D,Orange,FE8A18,false
212,Bright Light Blue,"9FC3E9",Blue,"0055BF",false
216,Rust,B31004,Rust,B31004,false
226,Bright Light Yellow,FFF03A,Yellow,F2CD37,false
230,Trans-Pink,E4ADC8,Pink,FC97AC,true
232,Sky Blue,"7DBFDD",Blue,"0055BF",false
236,Trans-Light Purple,"96709F",Purple,"81007B",true
272,Dark Blue,"0A3463",Blue,"0055BF",false
288,Dark Green,"184632",Green,"237841",false
294,Glow In Dark Trans,BDC6AD,Glow In Dark Trans,BDC6AD,true
308,Dark Brown,"352100",Brown,"583927",false
313,Maersk Blue,"3592C3",Blue,"0055BF",false
320,Dark Red,"720E0F",Red,C91A09,false
326,Olive Green,"9B9A5A",Green,"237841",false
335,Sand Red,D67572,Red,C91A09,false
351,Medium Dark Pink,F785B1,Pink,FC97AC,false
366,Earth Orange,FA9C1C,Orange,FE8A18,false
373,Sand Purple,"845E84",Purple,"81007B",false
378,Sand Green,A0BCAC,Green,"237841",false
379,Sand Blue,"6074A1",Blue,"0055BF",false
450,Fabuland Brown,B67B50,Brown,"583927",false
462,Medium Orange,FFA70B,Orange,FE8A18,false
484,Dark Orange,A95500,Orange,FE8A18,false
1000,Glow in Dark White,D9D9D9,White,FFFFFF,false
1001,Medium Violet,"9391E4",Violet,"4354A3",false
1002,Glitter Trans-Neon Green,C0F500,Green,"237841",true
1003,Glitter Trans-Light Blue,"68BCC5",Blue,"0055BF",true
1004,Trans-Flame Yellowish Orange,FCB76D,Orange,FE8A18,true
1005,Trans-Fire Yellow,FBE890,Yellow,F2CD37,true
1006,Trans-Light Royal Blue,B4D4F7,Blue,"0055BF",true
1008,Vintage Blue,"039CBD",Blue,"0055BF",false
1009,Vintage Green,"1E601E",Green,"237841",false
1010,Vintage Red,CA1F08,Red,C91A09,false
1011,Vintage Yellow,F3C305,Yellow,F2CD37,false
1012,Fabuland Orange,EF9121,Orange,FE8A18,false
1013,Modulex White,F4F4F4,White,FFFFFF,false
1018,Modulex Black,"4D4C52",Black,"05131D",false
1019,Modulex Tile Brown,"330000",Brown,"583927",false
1021,Modulex Brown,"907450",Brown,"583927",false
1023,Modulex Red,B52C20,Red,C91A09,false
1024,Modulex Pink Red,F45C40,Red,C91A09,false
1025,Modulex Orange,F47B30,Orange,FE8A18,false
1026,Modulex Light Orange,F7AD63,Orange,FE8A18,false
1027,Modulex Light Yellow,FFE371,Yellow,F2CD37,false
1028,Modulex Ochre Yellow,FED557,Yellow,F2CD37,false
1030,Modulex Pastel Green,"7DB538",Green,"237841",false
1031,Modulex Olive Green,"7C9051",Green,"237841",false
1032,Modulex Aqua Green,"27867E",Green,"237841",false
1033,Modulex Teal Blue,"467083",Blue,"0055BF",false
1034,Modulex Tile Blue,"0057A6",Blue,"0055BF",false
1035,Modulex Medium Blue,"61AFFF",Blue,"0055BF",false
1036,Modulex Pastel Blue,"68AECE",Blue,"0055BF",false
1037,Modulex Violet,BD7D85,Violet,"4354A3",false
1038,Modulex Pink,F785B1,Pink,FC97AC,false
1039,Modulex Clear,FFFFFF,Modulex Clear,FFFFFF,false
1042,Modulex Foil Dark Green,"006400",Green,"237841",false
1043,Modulex Foil Light Green,"7DB538",Green,"237841",false
1044,Modulex Foil Dark Blue,"0057A6",Blue,"0055BF",false
1045,Modulex Foil Light Blue,"68AECE",Blue,"0055BF",false
1046,Modulex Foil Violet,"4B0082",Violet,"4354A3",false
1047,Modulex Foil Red,"8B0000",Red,C91A09,false
1048,Modulex Foil Yellow,FED557,Yellow,F2CD37,false
1049,Modulex Foil Orange,F7AD63,Orange,FE8A18,false
1050,Coral,FF698F,Coral,FF698F,false
1051,Pastel Blue,"5AC4DA",Blue,"0055BF",false
1052,Glitter Trans-Orange,F08F1C,Orange,FE8A18,true
1057,Trans-Light Bright Green,C9E788,Green,"237841",true
1058,Trans-Light Green,"94E5AB",Green,"237841",true
1062,Vibrant Yellow,EBD800,Yellow,F2CD37,false
1063,Pearl Copper,B46A00,Copper,AE7A59,false
1064,Fabuland Red,FF8014,Red,C91A09,false
1066,Curry,DD982E,Curry,DD982E,false
1067,Dark Nougat,AD6140,Nougat,D09168,false
1068,Bright Reddish Orange,EE5434,Orange,FE8A18,false
1069,Pearl Red,D60026,Red,C91A09,false
1070,Pearl Blue,"0059A3",Blue,"0055BF",false
1071,Pearl Green,"008E3C",Green,"237841",false
1072,Pearl Brown,"57392C",Brown,"583927",false
1073,Pearl Black,"0A1327",Black,"05131D",false
1074,Duplo Blue,"009ECE",Blue,"0055BF",false
1075,Duplo Medium Blue,"3E95B6",Blue,"0055BF",false
1076,Duplo Lime,FFF230,Lime,BBE90B,false
1077,Fabuland Lime,"78FC78",Lime,BBE90B,false
1078,Duplo Medium Green,"468A5F",Green,"237841",false
1079,Duplo Light Green,"60BA76",Green,"237841",false
1080,Light Tan,F3C988,Tan,E4CD9E,false
1081,Rust Orange,"872B17",Orange,FE8A18,false
1082,Clikits Pink,FE78B0,Pink,FC97AC,false
1083,Two-tone Copper,"945148",Copper,AE7A59,false
1086,Pearl Lime,"6A7944",Lime,BBE90B,false
1087,Duplo Pink,FF879C,Pink,FC97AC,false
1088,Medium Brown,"755945",Brown,"583927",false
1089,Warm Tan,CCA373,Tan,E4CD9E,false
1091,Warm Yellowish Orange,FFCB78,Orange,FE8A18,false
1092,Metallic Copper,"764D3B",Copper,AE7A59,false
1094,Trans-Medium Purple,"8D73B3",Purple,"81007B",false
1095,Trans-Black,"635F52",Black,"05131D",true
1096,Glitter Trans-Bright Green,D9E4A7,Green,"237841",true
1097,Glitter Trans-Medium Purple,"8D73B3",Purple,"81007B",true
1098,Glitter Trans-Green,"84B68D",Green,"237841",true
1099,Glitter Trans-Pink,E4ADC8,Pink,FC97AC,true
1100,Clikits Yellow,FFCF0B,Yellow,F2CD37,false
1101,Duplo Dark Purple,"5F27AA",Purple,"81007B",false
1102,Trans-Neon Red,FF0040,Red,C91A09,true
1103,Pearl Titanium,"3E3C39",Pearl Titanium,"3E3C39",false
1109,HO Dark Blue,"0A3463",Blue,"0055BF",false
1111,HO Dark Green,"184632",Green,"237841",false
1112,HO Dark Lime,b2b955,Lime,BBE90B,false
1113,HO Dark Red,"631314",Red,C91A09,false
1114,HO Dark Sand Green,"627a62",Green,"237841",false
1116,HO Earth Orange,bb771b,Orange,FE8A18,false
1119,HO Light Brown,"965336",Brown,"583927",false
1121,HO Light Tan,f9f1c7,Tan,E4CD9E,false
1122,HO Light Yellow,f5fab7,Yellow,F2CD37,false
1123,HO Medium Blue,"7396c8",Blue,"0055BF",false
1124,HO Medium Red,c01111,Red,C91A09,false
1125,HO Metallic Blue,"0d4763",Blue,"0055BF",false
1127,HO Metallic Green,"879867",Green,"237841",false
1128,HO Metallic Sand Blue,"5f7d8c",Blue,"0055BF",false
1129,HO Olive Green,"9B9A5A",Green,"237841",false
1131,HO Sand Blue,"6e8aa6",Blue,"0055BF",false
1132,HO Sand Green,A0BCAC,Green,"237841",false
1133,HO Tan,E4CD9E,Tan,E4CD9E,false
1134,HO Titanium,"616161",HO Titanium,"616161",false
1135,Metal,A5ADB4,Metal,A5ADB4,false
1136,Reddish Orange,CA4C0B,Orange,FE8A18,false
1137,Sienna Brown,"915C3C",Brown,"583927",false
1138,Umber Brown,"5E3F33",Brown,"583927",false
26,Magenta,"923978",Magenta,"923978",false
118,Aqua,B3D7D1,Aqua,B3D7D1,false
323,Light Aqua,ADC3C0,Aqua,B3D7D1,false
1104,HO Aqua,B3D7D1,Aqua,B3D7D1,false
1108,HO Dark Aqua,a7dccf,Aqua,B3D7D1,false
1118,HO Light Aqua,a3d1c0,Aqua,B3D7D1,false
-1,[Unknown],"0033B2","",,false
3,Dark Turquoise,"008F9B",Turquoise,,false
7,Light Gray,"9BA19D",Gray,,false
8,Dark Gray,"6D6E5C",Gray,,false
11,Light Turquoise,"55A5AF",Turquoise,,false
60,Chrome Antique Brass,"645A4C",Brass,,false
71,Light Bluish Gray,A0A5A9,Gray,,false
72,Dark Bluish Gray,"6C6E68",Gray,,false
76,Speckle DBGray-Silver,"6C6E68",Silver,,false
80,Metallic Silver,A5A9B4,Silver,,false
82,Metallic Gold,DBAC34,Gold,,false
132,Speckle Black-Silver,"05131D",Silver,,false
133,Speckle Black-Gold,"05131D",Gold,,false
135,Pearl Light Gray,"9CA3A8",Gray,,false
142,Pearl Light Gold,DCBC81,Gold,,false
148,Pearl Dark Gray,"575857",Gray,,false
150,Pearl Very Light Gray,ABADAC,Gray,,false
151,Very Light Bluish Gray,E6E3E0,Gray,,false
178,Flat Dark Gold,B48455,Gold,,false
179,Flat Silver,"898788",Silver,,false
297,Pearl Gold,AA7F2E,Gold,,false
321,Dark Azure,"078BC9",Azure,,false
322,Medium Azure,"36AEBF",Azure,,false
334,Chrome Gold,BBA53D,Gold,,false
383,Chrome Silver,E0E0E0,Silver,,false
503,Very Light Gray,E6E3DA,Gray,,false
1007,Reddish Lilac,"8E5597",Lilac,,false
1014,Modulex Light Bluish Gray,AfB5C7,Gray,,false
1015,Modulex Light Gray,"9C9C9C",Gray,,false
1016,Modulex Charcoal Gray,"595D60",Gray,,false
1017,Modulex Tile Gray,"6B5A5A",Gray,,false
1020,Modulex Terracotta,"5C5030",Terracotta,,false
1022,Modulex Buff,DEC69C,Buff,,false
1029,Modulex Lemon,BDC618,Lemon,,false
1040,Modulex Foil Dark Gray,"595D60",Gray,,false
1041,Modulex Foil Light Gray,"9C9C9C",Gray,,false
1053,Trans-Blue Opal,"68BCC5",Opal,,true
1054,Trans-Dark Pink Opal,CE1D9B,Opal,,true
1055,Trans-Clear Opal,FCFCFC,Opal,,true
1056,Trans-Brown Opal,"583927",Opal,,true
1059,Trans-Purple Opal,"8320B7",Opal,,true
1060,Trans-Green Opal,"84B68D",Opal,,true
1061,Trans-Dark Blue Opal,"0020A0",Opal,,true
1065,Reddish Gold,AC8247,Gold,,false
1084,Two-tone Gold,AB673A,Gold,,false
1085,Two-tone Silver,"737271",Silver,,false
1090,Duplo Turquoise,"3FB69E",Turquoise,,false
1093,Light Lilac,"9195CA",Lilac,,false
1105,HO Azure,"1591cb",Azure,,false
1106,HO Blue-gray,"354e5a",gray,,false
1107,HO Cyan,"5b98b3",Cyan,,false
1110,HO Dark Gray,"6D6E5C",Gray,,false
1115,HO Dark Turquoise,"10929d",Turquoise,,false
1117,HO Gold,b4a774,Gold,,false
1120,HO Light Gold,cdc298,Gold,,false
1126,HO Metallic Dark Gray,"5e5e5e",Gray,,false
1130,HO Rose,d06262,Rose,,false
1139,Trans-Yellow Opal,F5CD2F,Opal,,true
9999,[No Color/Any Color],"05131D","",,false
