"n_items","source_name","target_name"
25,"52-City","65-Arctic"
30,"507-Educational and Dacta","528-Supplemental"
17,"1-Technic","19-Supplemental"
5,"307-Aquazone","311-Aquasharks"
26,"22-Creator","478-X-Pod"
18,"147-Pirates","153-Pirates II"
6,"126-Space","139-Space Police I"
3,"307-Aquazone","309-Aquaraiders I"
16,"186-Castle","188-Black Knights"
35,"435-Ninjago","616-The LEGO Ninjago Movie"
10,"52-City","614-Jungle"
166,"501-Gear","740-Storage"
211,"497-Books","760-Activity Books"
42,"578-The LEGO Movie","670-The LEGO Movie II"
289,"501-Gear","742-Video Games and Accessories"
85,"501-Gear","736-Posters and Art Prints"
19,"535-Collectible Minifigures","691-Harry Potter and Fantastic Beasts Series 2"
388,"504-Duplo","505-Basic Set"
9,"504-Duplo","657-Action Wheelers"
12,"50-Town","86-Divers"
29,"1-Technic","16-RoboRiders"
19,"535-Collectible Minifigures","551-Series 13 Minifigures"
15,"438-Power Functions","655-Powered Up"
16,"535-Collectible Minifigures","743-Series 24 Minifigures"
9,"507-Educational and Dacta","517-Learning"
17,"304-Alpha Team","305-Mission Deep Sea"
4,"126-Space","138-RoboForce"
16,"52-City","679-Mars Exploration"
8,"696-Super Heroes Marvel","707-X-Men"
5,"591-Juniors","592-DC Comics Super Heroes"
122,"301-Other","746-Database Sets"
3,"504-Duplo","639-Sofia the First"
4,"207-Advent","214-Creator"
4,"207-Advent","751-Marvel"
69,"34-Make & Create","35-Bricks & More"
29,"279-4 Juniors","280-Jack Stone"
255,"22-Creator","672-Creator 3-in-1"
36,"186-Castle","193-Fantasy Era"
154,"408-LEGO Brand Store","409-Monthly Mini Model Build"
19,"535-Collectible Minifigures","542-Series 7 Minifigures"
146,"497-Books","758-Non-fiction Books"
3,"186-Castle","203-Wolfpack"
11,"307-Aquazone","310-Aquaraiders II"
18,"695-Super Heroes DC","700-Justice League"
21,"126-Space","141-Space Police III"
9,"52-City","54-Cargo"
4,"591-Juniors","596-Marvel Super Heroes"
7,"608-Disney","271-Prince of Persia"
7,"307-Aquazone","312-Hydronauts"
18,"411-Legoland","412-Airport"
23,"504-Duplo","663-Rattles"
6,"324-Bionicle","360-Protectors"
19,"535-Collectible Minifigures","544-Series 9 Minifigures"
20,"608-Disney","263-Pirates of the Caribbean"
19,"535-Collectible Minifigures","550-The Simpsons Series 1"
3,"591-Juniors","620-Jurassic World: Fallen Kingdom"
20,"535-Collectible Minifigures","684-DC Super Heroes"
21,"186-Castle","197-Knights Kingdom I"
9,"411-Legoland","420-Hospital"
7,"186-Castle","187-Black Falcons"
35,"458-Sports","459-Basketball"
19,"754-Disney","640-Disney Princess"
11,"632-Town","636-My Town"
5,"529-Technic","531-eLAB"
4,"754-Disney","627-Planes"
4,"754-Disney","648-Doc McStuffins"
